ID_OFERTA,DS_CUPOM_LOJA,DS_URL_ORIGEM
1984,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/6ecYCfWiT6
1988,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/XZcQwCJFSp
1995,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/perfume-vintage-iris-granado-unissex-eau-toillete/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
1996,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/epoque-tropical-granado-vintage-perfume-unissex/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
1997,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/acai-oil-cadiveu-tratamento-reconstrutor/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
2000,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/9rpucKmQXR
2002,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/QBzEjbpiTn
2003,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/jxRV6lnuvG
2043,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/LTLjgYycGs
2386,blz.to,https://blz.to/r/M1ZJ4FFypf
2387,blz.to,https://blz.to/r/C8d6Ld54TI
2834,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/rejuvenescedor-facial-mantecorp-skincare-ivy-c-aox-gel/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
3076,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/serum-antioleosidade-e-antiacne-mantecorp-skincare-glycare-control/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
3079,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/rejuvenescedor-facial-mantecorp-skincare-ivy-c-aox-gel/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
3526,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/perfume-vintage-iris-granado-unissex-eau-toillete/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
3537,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/acai-oil-cadiveu-tratamento-reconstrutor/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
3561,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/perfume-vintage-citrus-brasilis-granado-unissex/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
3795,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/hCJCPeH0ut
3819,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/IBaPa2WQzY
3943,blz.to,https://blz.to/r/qhNSAsYjhT
4203,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/o-u-i-madeleine-perfume-feminino-eau-de-parfum-1/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
4789,blz.to,https://blz.to/r/J-BQQ0xwaw
4904,blz.to,https://blz.to/r/HUkcYowwvx
4951,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/OAjsOX0Riu
4992,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/body-cream-ceramide-creamy-sem-fragancia/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
4993,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/protetor-solar-dermage-photoage-stick-fps99/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
5003,blz.to,https://blz.to/r/LOh6aJ99Tx
5029,epocacosmeticos.com.br,https://www.epocacosmeticos.com.br/avene-cleanance-kit-gel-de-limpeza-facial-profunda-150g-40g/p?utm_source=pb_achadinhoscomcarol&utm_campaign=promo_julhooo_072026&utm_medium=post_c
5123,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/cPJXSSZQyO
5135,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/rZfWGh9xpA
5158,achadinhoscomcarol.com.br,https://achadinhoscomcarol.com.br/p/GZCrIDfb7d
5302,blz.to,https://blz.to/r/GXfe24O-A2
5355,blz.to,https://blz.to/r/rl1quBrGMn
5555,blz.to,https://blz.to/r/42lIK7_it_
5556,blz.to,https://blz.to/r/XkYeFRWkFz
5614,zzmall.com.br,https://www.zzmall.com.br/bolsa-tiracolo-preta-media-granulada-metais/p/A5002309890001U?influ=achadinhoscomcarol
